#Time [s]	CarSpeed	Gear	EngSpeed
5.050200	0.000000	0	750
5.050600	0.000000	0	750
5.050800	0.000000	0	750
5.100200	0.000000	0	750
5.100800	0.000000	0	750
5.100900	0.000000	0	750
5.150100	0.000000	0	750
5.150700	0.000000	0	750
5.150800	0.000000	0	750
5.200200	0.000000	0	750
5.200800	0.000000	0	750
5.250200	0.000000	0	750
5.250700	0.000000	0	750
5.300200	0.000000	0	750
5.300800	0.000000	0	750
5.300900	0.000000	0	750
5.350200	0.000000	0	750
5.350700	0.000000	0	750
5.350800	0.000000	0	750
5.400100	0.000000	0	750
5.400800	0.000000	0	750
5.400900	0.000000	0	750
5.450200	0.000000	0	750
5.450700	0.000000	0	750
5.450800	0.000000	0	750
5.500200	0.000000	0	750
5.500700	0.000000	0	750
5.500900	0.000000	0	750
5.550200	0.000000	0	750
5.550600	0.000000	0	750
5.550800	0.000000	0	750
5.600200	0.000000	0	750
5.600800	0.000000	0	750
5.600900	0.000000	0	750
5.650100	0.000000	0	750
5.650700	0.000000	0	750
5.650800	0.000000	0	750
5.700200	0.000000	0	750
5.700800	0.000000	0	750
5.750200	0.000000	0	750
5.750700	0.000000	0	750
5.800200	0.000000	0	750
5.800800	0.000000	0	750
5.800900	0.000000	0	750
5.850200	0.000000	0	750
5.850700	0.000000	0	750
5.850800	0.000000	0	750
5.900100	0.000000	0	750
5.900800	0.000000	0	750
5.900900	0.000000	0	750
5.950200	0.000000	0	750
5.950700	0.000000	0	750
5.950800	0.000000	0	750
6.000200	0.000000	0	750
6.000700	0.000000	0	750
6.000900	0.000000	0	750
6.050200	0.000000	0	750
6.050600	0.000000	0	750
6.050800	0.000000	0	750
6.100200	0.000000	0	750
6.100800	0.000000	0	750
6.100900	0.000000	0	750
6.150100	0.000000	0	750
6.150700	0.000000	0	750
6.150800	0.000000	0	750
6.200200	0.000000	0	750
6.200800	0.000000	0	750
6.250200	0.000000	0	750
6.250700	0.000000	0	750
6.300200	0.000000	0	750
6.300800	0.000000	0	750
6.300900	0.000000	0	750
6.350200	0.000000	0	750
6.350700	0.000000	0	750
6.350800	0.000000	0	750
6.400100	0.000000	0	750
6.400800	0.000000	0	750
6.400900	0.000000	0	750
6.450200	0.000000	0	750
6.450700	0.000000	0	750
6.450800	0.000000	0	750
6.500200	0.000000	0	750
6.500700	0.000000	0	750
6.500900	0.000000	0	750
6.550200	0.000000	0	750
6.550600	0.000000	0	750
6.550800	0.000000	0	750
6.600200	0.000000	0	750
6.600800	0.000000	0	750
6.600900	0.000000	0	750
6.650100	0.000000	0	750
6.650700	0.000000	0	750
6.650800	0.000000	0	750
6.700200	0.000000	0	750
6.700800	0.000000	0	750
6.700900	0.000000	0	750
6.750200	0.000000	0	750
6.750700	0.000000	0	750
6.800200	0.000000	0	750
6.800800	0.000000	0	750
6.800900	0.000000	0	750
6.850200	0.000000	0	750
6.850700	0.000000	0	750
6.850800	0.000000	0	750
6.900100	0.000000	0	750
6.900800	0.000000	0	750
6.900900	0.000000	0	750
6.950200	0.000000	0	750
6.950700	0.000000	0	750
6.950800	0.000000	0	750
7.000200	0.000000	0	750
7.000700	0.000000	0	750
7.000900	0.000000	0	750
7.050200	0.000000	0	750
7.050600	0.000000	0	750
7.050800	0.000000	0	750
7.100200	0.000000	0	750
7.100800	0.000000	0	750
7.100900	0.000000	0	750
7.150200	0.000000	0	750
7.150700	0.000000	0	750
7.150800	0.000000	0	750
7.200200	0.000000	0	750
7.200800	0.000000	0	750
7.200900	0.000000	0	750
7.250200	0.000000	0	750
7.250700	0.000000	0	750
7.300200	0.000000	0	750
7.300800	0.000000	0	750
7.300900	0.000000	0	750
7.350200	0.000000	0	750
7.350700	0.000000	0	750
7.350800	0.000000	0	750
7.400200	0.000000	0	750
7.400800	0.000000	0	750
7.400900	0.000000	0	750
7.450200	0.000000	0	750
7.450700	0.000000	0	750
7.450800	0.000000	0	750
